block,time_h,counts_747,counts_633
1,0.0,7643.87892250661,5579.80859653719
1,36.0,5537.05375033,4989.58302811567
1,59.5,4992.23786088456,4095.69236074614
1,83.5,4315.9456889605,3626.78921350765
1,107.5,3326.19075167592,2851.35501248677
1,131.5,2949.33352441806,2425.84086920516
1,155.5,2547.40550743427,2189.3742011774
1,179.7,2179.97595186561,1770.56988696546
1,203.7,1913.77225828917,1703.80427983987
1,227.7,1605.56653715068,1410.69795872045
1,251.7,1426.5316886626,1209.81156791364
1,275.9,1255.1095034811,1101.94297198896
1,299.9,1068.95091224054,929.754270586884
1,398.4,586.582290595605,509.576062164109
1,422.9,513.721219074259,447.471642896769
1,446.9,404.504896908865,377.716527752
2,254.7,1383.7848083082,1260.46035632693
2,275.7,1302.28182137893,1136.61796958885
2,300.2,1088.27004379366,928.234882096701
2,321.7,915.215010401526,836.475285598045
2,345.7,785.261599545481,686.18080085851
2,369.7,662.099412491365,601.138712399546
2,393.7,570.267585540303,507.69000344418
2,417.7,496.514482305305,426.132534041467
2,441.7,418.911686044373,370.045644950077
2,465.7,348.552504096269,310.450585854698
2,490.7,294.97802271467,263.236156707704
2,514.7,247.163294476013,228.218011298571
2,538.7,221.307798329139,201.307902413175
2,564.7,185.305197233037,168.682877916335
2,590.7,153.38386265795,143.994442474889
2,612.7,136.683185506706,126.892557507638
2,634.7,116.652463968809,108.93343519867
2,658.7,103.332286422198,95.0247593293138
3,541.7,213.8574713309,195.735390323979
3,562.7,187.335276390785,171.021133550395
3,588.7,160.286590285537,145.174319384801
3,612.7,138.195020996607,128.493934637576
3,636.7,115.761637443546,108.846381986139
3,657.7,100.674830610092,94.4360793799143
3,684.7,84.9497544872178,81.3040433038527
3,706.7,73.023514617371,70.1374248071991
3,729.7,64.0206056921072,60.1192469798198
3,754.7,55.3431313058377,53.1325060704504
3,777.7,47.1525487492029,46.0374645137837
3,801.7,39.9728292296211,39.2305296621017
3,827.7,34.7435569802506,33.6935824122782
3,853.7,29.17571041238,29.6153823296481
3,873.7,26.2921588002736,26.8485644903971
3,897.7,21.8906926597718,22.5435217722329
3,922.7,18.7349856146127,20.3380152720042
3,945.7,16.5528822317434,17.9172566358673
3,971.7,13.8734471944265,16.1058271229166
4,898.7,22.1260394851039,23.1399178263022
4,921.7,18.426072788188,20.5430339702947
4,947.7,16.399280711616,17.7221514655437
4,969.7,14.0817847139729,15.6927665784821
4,994.7,12.2117341172321,14.2662488680628
4,1022.7,10.1214861474411,12.545531975442
4,1043.7,9.00694033064811,11.4405434258986
4,1067.7,7.70528098256866,10.3725307298559
4,1092.7,6.9913569873512,9.56156273520227
4,1115.7,5.77123213454727,8.42245636914366
4,1139.7,4.94847495494872,7.72848926358655
5,1068.7,7.756,10.327
5,1090.7,6.76275,9.30775
5,1116.7,5.705,8.5405
5,1138.7,5.1345,7.85925
5,1163.7,4.424,7.193
5,1187.7,3.9295,6.66325
5,1211.7,3.49725,6.15925
5,1235.7,3.02333333333333,5.84833333333333
5,1259.7,2.60857142857143,5.33571428571429
5,1284.7,2.2495,4.91725
5,1308.7,1.998,4.61325
5,1333.7,1.773,4.39075
5,1361.7,1.605,4.22525
5,1375.7,1.5395,4.088
5,1411.7,1.377,3.8245
5,1430.7,1.24075,3.75575
5,1460.7,1.13075,3.588
5,1471.7,1.126,3.5475
5,1505.7,0.9415,3.292
