day_index,file,condition,tag_raw,acquired_at,live_time_s,rate_747_cps,rate_747_err,rate_633_cps,rate_633_err
6,12.17_3_with 1_0.5.root,1_0.5,1_0.5,2025-12-17 14:04:25,1895.0,1.242000,0.025601,3.890000,0.045308
6,12.17_4_with 1_0.5.root,1_0.5,1_0.5,2025-12-17 14:37:36,1748.0,1.138000,0.025515,3.745000,0.046287
7,12.18_1_with 1_0.5.root,1_0.5,1_0.5,2025-12-18 18:08:20,2016.0,1.216000,0.024560,3.297000,0.040440
7,12.18_2_with 1_0.5.root,1_0.5,1_0.5,2025-12-18 18:43:18,3365.0,1.050000,0.017665,3.599000,0.032704
7,12.18_3_with 1_0.5.root,1_0.5,1_0.5,2025-12-18 19:41:01,2222.0,1.134000,0.022591,3.737000,0.041010
7,12.18_4_with 1_0.5.root,1_0.5,1_0.5,2025-12-18 20:19:39,3950.0,1.123000,0.016861,3.719000,0.030684
8,12.19_1_with 1_0.5.root,1_0.5,1_0.5,2025-12-19 05:25:02,1883.0,1.139000,0.024594,3.352000,0.042192
8,12.19_2_with 1_0.5.root,1_0.5,1_0.5,2025-12-19 05:58:00,2255.0,1.171000,0.022788,3.550000,0.039677
8,12.19_3_with 1_0.5.root,1_0.5,1_0.5,2025-12-19 06:37:25,2668.0,1.065000,0.019979,3.616000,0.036815
8,12.19_4_with 1_0.5.root,1_0.5,1_0.5,2025-12-19 07:23:52,2648.0,1.129000,0.020648,3.672000,0.037239
9,12.20_1_with 1_0.5.root,1_0.5,1_0.5,2025-12-20 19:40:44,3893.0,0.915000,0.015331,3.183000,0.028594
9,12.20_2_with 1_0.5.root,1_0.5,1_0.5,2025-12-20 20:47:55,3513.0,0.968000,0.016600,3.401000,0.031115
