file,acquired_at,live_time_s,633keV_net,633keV_err,633keV_gross,633keV_bg,633keV_rate,633keV_rate_err,747keV_net,747keV_err,747keV_gross,747keV_bg,747keV_rate,747keV_rate_err
12.15_4_with 1_0.5.Spe,2025-12-15 07:37:49,1872.0,7146.75,96.53,8232.0,1085.2,3.817708,0.051563,1446.50,54.69,2219.0,772.5,0.772703,0.029217
12.16_1_with 1_0.5.Spe,2025-12-16 17:39:58,3289.0,10534.25,118.54,12293.0,1758.8,3.202873,0.036041,1589.50,64.59,2881.0,1291.5,0.483278,0.019640
12.16_2_with 1_0.5.Spe,2025-12-16 18:36:45,1914.0,6777.75,93.73,7782.0,1004.2,3.541144,0.048973,1077.00,50.82,1830.0,753.0,0.562696,0.026553
12.16_3_with 1_0.5.Spe,2025-12-16 19:10:04,2200.0,7886.00,101.48,9092.0,1206.0,3.584545,0.046127,1198.00,54.50,2084.0,886.0,0.544545,0.024772
12.16_4_with 1_0.5.Spe,2025-12-16 19:48:25,2933.0,10603.00,117.76,12235.0,1632.0,3.615070,0.040149,1638.50,63.32,2824.0,1185.5,0.558643,0.021589
12.17_1_with 1_0.5.Spe,2025-12-17 12:45:59,2662.0,8424.25,104.91,9715.0,1290.8,3.164632,0.039410,1197.00,56.81,2212.0,1015.0,0.449662,0.021340
12.17_2_with 1_0.5.Spe,2025-12-17 13:32:01,1850.0,6453.25,91.91,7450.0,996.8,3.488243,0.049679,813.50,48.34,1575.0,761.5,0.439730,0.026128
12.17_3_with 1_0.5.Spe,2025-12-17 14:04:25,1895.0,6564.25,92.64,7573.0,1008.8,3.463984,0.048885,837.00,48.80,1609.0,772.0,0.441689,0.025750
12.17_4_with 1_0.5.Spe,2025-12-17 14:37:36,1748.0,5915.50,88.30,6856.0,940.5,3.384153,0.050514,742.50,46.21,1439.0,696.5,0.424771,0.026437
12.18_1_with 1_0.5.Spe,2025-12-18 18:08:20,2016.0,5932.00,89.19,6943.0,1011.0,2.942460,0.044239,584.00,46.71,1383.0,799.0,0.289683,0.023171
12.18_2_with 1_0.5.Spe,2025-12-18 18:43:18,3365.0,10842.00,119.67,12582.0,1740.0,3.221991,0.035565,1167.00,61.42,2470.0,1303.0,0.346805,0.018254
12.18_3_with 1_0.5.Spe,2025-12-18 19:41:01,2222.0,7401.75,98.66,8568.0,1166.2,3.331121,0.044402,739.00,50.92,1666.0,927.0,0.332583,0.022917
12.18_4_with 1_0.5.Spe,2025-12-18 20:19:39,3950.0,12998.00,130.57,15023.0,2025.0,3.290633,0.033055,1441.00,66.70,2945.0,1504.0,0.364810,0.016886
12.19_1_with 1_0.5.Spe,2025-12-19 05:25:02,1883.0,5606.25,85.86,6489.0,882.8,2.977297,0.045597,538.50,45.54,1306.0,767.5,0.285980,0.024183
12.19_2_with 1_0.5.Spe,2025-12-19 05:58:00,2255.0,7035.50,96.81,8204.0,1168.5,3.119956,0.042932,769.50,51.09,1690.0,920.5,0.341242,0.022658
12.19_3_with 1_0.5.Spe,2025-12-19 06:37:25,2668.0,8340.00,105.84,9771.0,1431.0,3.125937,0.039670,818.50,55.31,1939.0,1120.5,0.306784,0.020732
12.19_4_with 1_0.5.Spe,2025-12-19 07:23:52,2648.0,8392.25,105.55,9767.0,1374.8,3.169279,0.039862,832.50,54.82,1919.0,1086.5,0.314388,0.020703
12.20_1_with 1_0.5.Spe,2025-12-20 19:40:44,3893.0,10699.75,119.85,12532.0,1832.2,2.748459,0.030786,743.00,61.20,2244.0,1501.0,0.190855,0.015720
12.20_2_with 1_0.5.Spe,2025-12-20 20:47:55,3513.0,10321.25,116.67,11966.0,1644.8,2.938016,0.033210,586.00,58.84,2024.0,1438.0,0.166809,0.016749
