94,10.31,2,10.31_2_with Pb...,355.1,2.0053,0.6111,1
95,10.29,2,10.29_2_with Cu...,309.3,20.1661,14.249,2
96,10.30,2,10.30_2_with Cu...,330.3,17.9701,12.0226,2
97,10.31,2,10.31_2_with Cu...,356.7,14.752,10.0478,2
98,11.01,2,11.01_2_with Cu...,378.4,13.3322,9.3733
99,11.02,2,11.02_2_with Cu...,402.5,11.4678,7.7004
100,11.03,2,11.03_2_with Cu...,426.5,9.5408,6.7774
101,11.04,2,11.04_2_with Cu...,450.6,8.2241,5.6449
102,11.05,2,11.05_2_with Cu...,475.2,7.0881,4.7246
103,11.06,2,11.06_2_with Cu...,498.7,5.9446,4.0361
104,11.07,2,11.07_2_with Cu...,522.8,5.0904,3.5241
105,11.08,2,11.08_2_with Cu...,546.9,4.4125,3.0244
106,11.09,2,11.09_2_with Cu...,571.9,3.6608,2.5278
107,11.10,2,11.10_2_with Cu...,595.2,3.2158,2.2424,1
108,11.11,2,11.11_2_with Cu...,619.8,2.7456,1.9084,1
109,11.12,2,11.12_2_with Cu...,647,2.2432,1.6649,1
110,11.13,2,11.13_2_with Cu...,668.6,1.9242,1.3865,1
111,11.14,2,11.14_2_with Cu...,691.3,1.6251,1.1878,1
112,11.15,2,11.15_2_with Cu...,716.2,1.4724,1.0911,1
113,11.10,2,11.10_2_with 12...,598.4,32.3661,28.1956,2
114,11.11,2,11.11_2_with 12...,619.3,28.517,24.56,2
115,11.12,2,11.12_2_with 12...,645.4,23.144,20.9589,2
116,11.13,2,11.13_2_with 12...,666.8,19.6393,18.8048,2
117,11.14,2,11.14_2_with 12...,693.1,17.3286,15.3862,2
118,11.15,2,11.15_2_with 12...,714.3,15.2722,13.4048,2
119,11.16,2,11.16_2_with 12...,740.6,12.2672,11.5758
120,11.17,2,11.17_2_with 12...,762.7,10.075,10.0367
121,11.18,2,11.18_2_with 12...,786.5,8.6074,8.618
122,11.19,2,11.19_2_with 12...,811.2,7.7866,7.426
123,11.20,2,11.20_2_with 12...,834.3,6.9594,6.0055
124,11.21,2,11.21_2_with 12...,858.5,5.9171,5.2688
125,11.22,2,11.22_2_with 12...,884.4,4.8827,4.3354
126,11.23,2,11.23_2_with 12...,910.6,4.2913,3.8844
127,11.24,2,11.24_2_with 12...,930.8,3.7597,3.3931
128,11.25,2,11.25_2_with 12...,954.9,3.0885,2.9233,1
129,11.26,2,11.26_2_with 12...,980.1,2.7037,2.3946,1
130,11.27,2,11.27_2_with 12...,1003.1,2.2371,2.1265,1
131,11.28,2,11.28_2_with 12...,1028.6,1.9427,1.7777,1
132,11.25,2,11.25_2_with 0....,955.8,9.3495,8.7072,2
133,11.26,2,11.26_2_with 0....,978.6,8.0534,7.618,2
134,11.27,2,11.27_2_with 0....,1004.5,6.9757,6.4746,2
135,11.28,2,11.28_2_with 0....,1027.1,5.8525,5.2611,2
136,11.29,2,11.29_2_with 0....,1051.4,5.0646,4.7786
137,11.30,2,11.30_2_with 0....,1078.7,4.1184,3.9617
138,12.01,2,12.01_2_with 0....,1100.6,3.5286,3.5564
139,12.02,2,12.02_2_with 0....,1124.1,3.072,2.8566,1
140,12.03,2,12.03_2_with 0....,1149,2.6407,2.4715,1
141,12.04,2,12.04_2_with 0....,1172.3,2.226,2.0895,1
142,12.05,2,12.05_2_with 0....,1197.3,1.8693,1.966,1
143,12.02,2,12.02_2_with 0_...,1125.9,6.4235,6.514,2
144,12.03,2,12.03_2_with 0_...,1147.3,5.6945,5.3442,2
145,12.04,2,12.04_2_with 0_...,1173.7,4.4758,4.7954,2
146,12.05,2,12.05_2_with 0_...,1195.6,4.0927,4.0673,2
147,12.06,2,12.06_2_with 0_...,1220.5,3.5148,3.4455
148,12.07,2,12.07_2_with 0_...,1244.7,2.9549,2.7083
149,12.08,2,12.08_2_with 0_...,1268.5,2.4387,2.3298
150,12.09,2,12.09_2_with 0_...,1293.2,2.0991,1.9721
151,12.10,2,12.10_2_with 0_...,1316.2,1.7526,1.717
152,12.11,2,12.11_2_with 1_...,1341.4,1.4016,1.6834
153,12.12,2,12.12_2_with 1_...,1365.3,1.2206,1.4328
154,12.13,2,12.13_2_with 1_...,1390.4,1.0252,1.1128
155,12.14,2,12.14_2_with 1_...,1419.4,0.7897,0.9273
156,12.15,2,12.15_2_with 1_...,1432,0.7188,0.8637
157,12.16,2,12.16_2_with 1_...,1468.2,0.5559,0.7183
158,12.17,2,12.17_2_with 1_...,1487.1,0.4384,0.6703
159,12.18,2,12.18_2_with 1_...,1516.7,0.3426,0.4989
160,12.19,2,12.19_2_with 1_...,1527.6,0.3337,0.3429
161,12.20,2,12.20_2_with 1_...,1566.8,0.1637,0.2723
162,10.18,3,10.18_3_with Pb...,56.2,14.0641,4.0998
163,10.20,3,10.20_3_with Pb...,91.3,10.8812,3.356
164,10.21,3,10.21_3_with Pb...,114.8,9.4603,2.9646
165,10.22,3,10.22_3_with Pb...,138.7,8.1186,2.6057
166,10.23,3,10.23_3_with Pb...,162.9,6.7688,2.2551
167,10.24,3,10.24_3_with Pb...,186.7,6.1559,1.7572
168,10.25,3,10.25_3_with Pb...,211.2,5.0744,1.5851
169,10.26,3,10.26_3_with Pb...,235.7,4.2538,1.3632
170,10.27,3,10.27_3_with Pb...,260.1,3.6513,1.1325
171,10.28,3,10.28_3_with Pb...,284.3,3.026,0.9821
172,10.29,3,10.29_3_with Pb...,308.1,2.6744,0.808,1
173,10.30,3,10.30_3_with Pb...,331.8,2.2869,0.706,1
174,10.31,3,10.31_3_with Pb...,355.6,1.9978,0.6079,1
175,10.29,3,10.29_3_with Cu...,309.2,20.9821,14.5046,2
176,10.30,3,10.30_3_with Cu...,330.6,17.7485,12.8052,2
177,10.31,3,10.31_3_with Cu...,356.5,15.2636,10.2991,2
178,11.01,3,11.01_3_with Cu...,378.6,13.1276,9.2286
179,11.03,3,11.03_3_with Cu...,426.7,9.7253,6.6814
180,11.04,3,11.04_3_with Pb...,453.3,1.0784,0.3336,1
181,11.05,3,11.05_3_with Pb...,477.5,0.9089,0.2813,1
182,11.06,3,11.06_3_with Pb...,501.6,0.7618,0.2401,1
183,11.04,3,11.04_3_with Cu...,450.8,8.377,5.7142,2
184,11.05,3,11.05_3_with Cu...,475.4,7.1836,4.7273,2
185,11.06,3,11.06_3_with Cu...,499,6.1778,4.3869,2
186,11.07,3,11.07_3_with Cu...,523.1,5.1642,3.5172
187,11.08,3,11.08_3_with Cu...,547.3,4.463,3.0139
188,11.09,3,11.09_3_with Cu...,572.4,3.7255,2.5697
189,11.10,3,11.10_3_with Cu...,595.7,3.2618,2.196,1
190,11.11,3,11.11_3_with Cu...,620.4,2.7495,1.8773,1
191,11.12,3,11.12_3_with Cu...,646.6,2.2888,1.6153,1
192,11.13,3,11.13_3_with Cu...,668.1,1.9465,1.4143,1
193,11.14,3,11.14_3_with Cu...,691.9,1.6563,1.1856,1
194,11.15,3,11.15_3_with Cu...,715.7,1.4838,1.0998,1
195,11.10,3,11.10_3_with 12...,598.4,33.7744,29.5727,2
196,11.11,3,11.11_3_with 12...,619,29.1353,25.6645,2
197,11.12,3,11.12_3_with 12...,645.6,24.0223,21.5929,2
198,11.13,3,11.13_3_with 12...,666.4,20.5051,18.9671,2
199,11.14,3,11.14_3_with 12...,692.9,17.4375,16.2329,2
200,11.15,3,11.15_3_with 12...,714.5,15.5457,13.9237,2
201,11.16,3,11.16_3_with 12...,740.8,12.6726,11.7506
