1,Time,ln(count_rate),ln(count_rate),Time,ln(count_rate),ln(count_rate),Time,ln(count_rate),ln(count_rate),Time,ln(count_rate),ln(count_rate)
2,h,,,h,,,h,,,h
3,,1-747 kev,1-633/634 kev,,2-747 kev,2-633/634 kev,,3-747 kev,3-633/634 kev,,4-747 kev,4-633/634 kev
49,930.5,3.0542,3.02063,930.8,3.18118,3.12184,858.7,3.61607,3.56133,858.9,3.67564,3.55475
50,954.6,2.96077,2.85887,954.9,2.98453,2.97281,884.6,3.44168,3.4254,884.7,3.47079,3.39009
51,980.4,2.78347,2.65989,980.1,2.85146,2.77331,910.9,3.24968,3.24444,911.2,3.32816,3.2305
52,1002.7,2.61033,2.53968,1003.1,2.66202,2.65457,931.1,3.14765,3.08601,931.4,3.21702,3.12845
53,1029,2.50341,2.40302,1028.6,2.52092,2.47542,955.2,2.97136,2.91962,955.4,3.03949,2.97704
54,955.9,2.91263,2.88555,955.8,2.98238,2.95245,979.7,2.84043,2.76521,979.4,2.87658,2.78901
55,978.5,2.81453,2.66957,978.6,2.83315,2.81882,1003.7,2.64496,2.62355,1004.1,2.72748,2.65106
56,1004.6,2.64418,2.54622,1004.5,2.68949,2.65619,1028.3,2.53675,2.48288,1027.8,2.52906,2.44255
57,1026.9,2.48664,2.36012,1027.1,2.51392,2.44864,955.7,2.98539,2.9458,955.6,3.0253,2.95482
58,1051.2,2.31221,2.24979,1051.4,2.36933,2.35245,978.8,2.83234,2.77223,979,2.86238,2.79675
59,1078.5,2.19788,2.0702,1078.7,2.16252,2.16498,1004.3,2.65446,2.59529,1004.2,2.72714,2.61151
60,1100,2.02697,1.91838,1100.6,2.00795,2.05705,1027.3,2.52131,2.47794,1027.5,2.5578,2.49659
61,1123.8,1.84737,1.80302,1124.1,1.86938,1.83794,1051.6,2.39879,2.31142,1051.7,2.43861,2.31036
62,1149.3,1.62175,1.55616,1149,1.7181,1.69313,1079,2.22121,2.14385,1079.2,2.19759,2.14868
63,1171.9,1.52647,1.46551,1172.3,1.54726,1.52523,1100.9,2.03642,2.01404,1101.4,2.06764,2.00401
64,1197.7,1.33261,1.303,1197.3,1.37262,1.46431,1124.4,1.88566,1.84292,1124.9,1.89748,1.84334
65,1126.1,1.79806,1.74409,1125.9,1.85996,1.87395,1148.7,1.71317,1.69937,1148.4,1.75946,1.72129
66,1147.1,1.69662,1.59963,1147.3,1.7395,1.67601,1172.7,1.56844,1.54341,1173.1,1.62103,1.54233
67,1174,1.49083,1.44758,1173.7,1.49869,1.56766,1196.8,1.41249,1.42245,1196.5,1.40447,1.4619
68,1195.3,1.34268,1.33639,1195.6,1.4092,1.40298,1125.7,1.91479,1.86971,1125.5,1.91117,1.87625
69,1220.3,1.15424,1.12888,1220.5,1.25698,1.23707,1147.7,1.75941,1.68766,1148,1.75722,1.72105
70,1244.4,1.01411,0.96424,1244.7,1.08346,0.99632,1173.5,1.55945,1.52013,1173.3,1.56436,1.54643
71,1268.2,0.83655,0.75903,1268.5,0.89147,0.84578,1195.8,1.34612,1.43067,1196.1,1.44969,1.42513
72,1292.4,0.71633,0.61069,1293.2,0.74151,0.6791,1220.8,1.26703,1.25465,1221.1,1.26201,1.25219
73,1316.5,0.48131,0.46493,1316.2,0.5611,0.54058,1245,1.12756,1.0284,1245.3,1.08363,1.11671
74,1340.7,0.25239,0.41442,1341.4,0.33761,0.52082,1268.9,0.93102,0.78814,1269.2,0.92497,0.86928
75,1364.9,0.06373,0.25154,1365.3,0.19934,0.35963,1293.5,0.76393,0.68183,1293.8,0.78718,0.6795
76,1389.9,-0.09222,0.12822,1390.4,0.02489,0.10688,1316.7,0.64516,0.63932,1317.2,0.55939,0.665
77,1418.8,-0.31143,-0.13662,1419.4,-0.2361,-0.07548,1341.8,0.39851,0.47468,1342.8,0.40065,0.47586
78,1431.4,-0.43665,-0.1514,1432,-0.33017,-0.14653,1365.8,0.15854,0.2727,1366.2,0.22202,0.32491
79,,,,1468.2,-0.58717,-0.33087,1390.8,-0.03542,0.17126,1391.3,0.02898,0.13103
80,,,,1487.1,-0.82462,-0.40003,1420.4,-0.22189,-0.02933,1421.4,-0.20555,-0.04406
81,,,,1516.7,-1.07119,-0.69535,1432.6,-0.27694,-0.08197,1433.2,-0.26723,-0.07526
82,,,,1527.6,-1.09751,-1.07032,1468.8,-0.60789,-0.28316,1469.6,-0.58771,-0.2408
83,,,,1566.8,-1.80972,-1.30085,1487.6,-0.83402,-0.57625,1488.1,-0.85755,-0.5487
84,,,,,,,1517.3,-1.11383,-0.61545,1518.4,-1.02834,-0.66262
85,,,,,,,1528.4,-1.18974,-1.01115,1529.2,-1.15709,-0.97896
