Time/d,Time/h,747,633/634,747,633/634,Time/d,Time/h,747,633/634,747,633/634,,图例
10.18.21:22,,,,,,10.18.21:22,0,2.65632709255594,1.32932386422121,14.2438764643237,3.77848775292865,,铅砖数据
10.20.09:28,,,,,,10.20.09:28,36,2.33388445112596,1.21752173488425,10.3179433368311,3.3788037775446,,铜砖数据
10.21.09:04,,,,,,10.21.09:04,59.5,2.23030618419621,1.02010516778895,9.30271398747391,2.77348643006263,,有机玻璃间隔12.5cm
10.22.09:04,,,,,,10.22.09:04,83.5,2.08473836951515,0.898517132790192,8.04248704663213,2.4559585492228,,靶片在靶框3号位
10.23.09:03,,,,,,10.23.09:03,107.5,1.82424963665251,0.657963714383321,6.19814241486068,1.93085655314757,,靶片直接测量
10.24.09:03,,,,,,10.24.09:03,131.5,1.70400112675085,0.496347604585337,5.4958932238193,1.64271047227926
10.25.09:05,,,,,,10.25.09:05,155.5,1.55749729900356,0.393785140218388,4.7469262295082,1.48258196721311
10.26.09:19,,,,,,10.26.09:19,179.7,1.4017357513357,0.181470854913638,4.06224489795918,1.19897959183673
10.27.09:23,,,,,,10.27.09:23,203.7,1.27149820449133,0.14303295267354,3.56619144602851,1.15376782077393
10.28.09:24,,,,,,10.28.09:24,227.7,1.09589858279651,-0.0457460217882043,2.99186991869919,0.955284552845528
10.29.12:05,254.7,3.02380939612588,2.68810256329251,20.5695,14.70375,10.29.12:05,251.7,0.977668011549058,-0.199365991403213,2.65825,0.81925
10.30.11.00,275.7,2.96310500938181,2.58468270659903,19.3579852618874,13.2590814034355,10.30.09.00,275.9,0.849644728397017,-0.292755650052483,2.33881578947368,0.746204453441295
10.31.11.30,300.2,2.7835763559989,2.38215507437927,16.1767715120254,10.8282133421492,10.31.09.00,299.9,0.689099617512473,-0.462665562811703,1.9919212345906,0.629603160012665
11.01.09.00,321.7,2.61039077908028,2.27806724289038,13.6043661148947,9.75780270983959
11.02.09.00,345.7,2.45724866746013,2.0800114190146,11.6726519722373,8.00456031796561
11.03.09.00,369.7,2.28664747195297,1.94769597847711,9.84188710807687,7.01251197475365
