,name,747 kev,633/634 kev
31,11.10_1_with 12.5_4_L.root,15.091,13.187
31,11.10_1_with 12.5_4_R.root,14.983,13.895
31,11.10_2_with 12.5_2_L.root,16.668,14.533
31,11.10_2_with 12.5_2_R.root,17.144,15.432
31,11.10_2_with 12.5_3_L.root,15.239,13.496
31,11.10_2_with 12.5_3_R.root,16.074,14.405
31,11.10_3_with 12.5_8_L.root,17.002,14.965
31,11.10_3_with 12.5_8_R.root,18.78,16.475
31,11.10_3_with 12.5_9_L.root,15.258,13.509
31,11.10_3_with 12.5_9_L_13h.root,12.266,10.908
31,11.10_3_with 12.5_9_R.root,16.899,14.735
31,11.10_4_with 12.5_5_L.root,16.062,14.62
31,11.10_4_with 12.5_5_R.root,18.1,16.126
31,11.10_4_with 12.5_6_L.root,15.416,13.859
31,11.10_4_with 12.5_6_R.root,17.11,15.225
31 平均值,,15.9622941176471,14.1981176470588
32,11.11_1_with Cu.root,2.556,1.867
32,11.11_2_with Cu.root,2.872,1.979
32,11.11_3_with Cu.root,2.765,2.029
32,11.11_4_with Cu.root,2.825,1.996
32 平均值,,2.7545,1.96775
33,11.11_1_with 12.5.root,27.042,24.323
33,11.11_2_with 12.5.root,28.987,25.558
33,11.11_3_with 12.5.root,29.358,26.71
33,11.11_4_with 12.5.root,30.254,26.696
33 平均值,,28.91025,25.82175
34,11.11_3_with 12.5_9_L_1h.root,14.658,13.256
34 平均值,,14.658,13.256
35,11.12_1_with Cu.root,2.119,1.609
35,11.12_2_with Cu.root,2.327,1.744
35,11.12_3_with Cu.root,2.303,1.653
35,11.12_4_with Cu.root,2.371,1.713
35 平均值,,2.28,1.67975
36,11.12_1_with 12.5.root,23.325,20.497
36,11.12_2_with 12.5.root,24.756,21.789
36,11.12_3_with 12.5.root,25.32,22.565
36,11.12_4_with 12.5.root,25.543,22.826
36 平均值,,24.736,21.91925
37,11.13_1_with Cu.root,1.926,1.359
37,11.13_2_with Cu.root,1.98,1.451
37,11.13_3_with Cu.root,2.091,1.545
37,11.13_4_with Cu.root,2.13,1.566
37 平均值,,2.03175,1.48025
38,11.13_1_with 12.5.root,19.723,17.832
38,11.13_2_with 12.5.root,21.476,19.862
38,11.13_3_with 12.5.root,22.027,19.961
38,11.13_4_with 12.5.root,22.081,19.948
38 平均值,,21.32675,19.40075
39,11.13_3_with 12.5_9_L_19h.root,10.425,9.398
39,11.14_1_with 12.5.root,16.607,15.336
39,11.14_2_with 12.5.root,17.935,16.264
39,11.14_3_with 12.5.root,18.259,17.253
39,11.14_4_with 12.5.root,18.658,16.884
39 平均值,,16.3768,15.027
40,11.14_1_with Cu.root,1.569,1.182
40,11.14_2_with Cu.root,1.844,1.284
40,11.14_3_with Cu.root,1.657,1.287
40,11.14_4_with Cu.root,1.866,1.33
40 平均值,,1.734,1.27075
41,11.15_1_with 12.5.root,14.218,12.592
41,11.15_2_with 12.5.root,16.015,14.484
41,11.15_3_with 12.5.root,16.043,14.928
41,11.15_4_with 12.5.root,15.87,15.03
41 平均值,,15.5365,14.2585
42,11.15_1_with Cu.root,1.512,1.027
42,11.15_2_with Cu.root,1.575,1.122
42,11.15_3_with Cu.root,1.491,1.155
42,11.15_4_with Cu.root,1.566,1.13
42 平均值,,1.536,1.1085
43,11.16_1_with 12.5.root,11.953,11.307
43,11.16_2_with 12.5.root,13.079,12.338
43,11.16_3_with 12.5.root,13.75,12.575
43,11.16_4_with 12.5.root,13.657,12.883
43 平均值,,13.10975,12.27575
44,11.17_1_with 12.5.root,10.603,9.602
44,11.17_2_with 12.5.root,11.31,10.807
44,11.17_3_with 12.5.root,11.487,11.132
44,11.17_4_with 12.5.root,11.677,10.818
44 平均值,,11.26925,10.58975
总平均值,,10.0278603351955,7.43417318435755
1,11.18_1_with 12.5,9.416,8.432
1,11.18_2_with 12.5,9.58,9.31
1,11.18_3_with 12.5,10.111,9.259
1,11.18_4_with 12.5,10.056,9.668
1 平均值,,9.91566666666667,9.41233333333333
2,11.19_1_with 12.5,8.135,7.551
2,11.19_2_with 12.5,8.517,8.179
2,11.19_3_with 12.5,8.602,8.081
2,11.19_4_with 12.5,8.909,8.278
2 平均值,,8.54075,8.02225
3,11.20_1_with 12.5,6.891,6.44
3,11.20_2_with 12.5,7.231,6.688
3,11.20_3_with 12.5,7.375,7.38
3,11.20_4_with 12.5,7.61,7.296
3 平均值,,7.27675,6.951
4,11.21_1_with 12.5,5.765,5.469
4,11.21_2_with 12.5,6.209,5.952
4,11.21_3_with 12.5,6.343,6.083
4,11.21_4_with 12.5,6.358,6.189
4 平均值,,6.16875,5.92325
5,11.22_1_with 12.5,5.016,4.778
5,11.22_2_with 12.5,5.531,5.03
5,11.22_3_with 12.5,5.529,5.38
5,11.22_4_with 12.5,5.371,5.161
5 平均值,,5.36175,5.08725
6,11.23_1_with 12.5,4.095,4.068
6,11.23_2_with 12.5,4.615,4.561
6,11.23_3_with 12.5,4.509,4.676
6,11.23_4_with 12.5,4.791,4.581
6 平均值,,4.5025,4.4715
7,11.24_1_with 12.5,3.682,3.794
7,11.24_2_with 12.5,4.21,4.034
7,11.24_3_with 12.5,4.172,4.047
7,11.24_4_with 12.5,4.166,4.34
7 平均值,,4.0575,4.05375
8,11.25_1_with 0,9.093,9.918
8,11.25_2_with 0,10.505,10.851
8,11.25_3_with 0,10.557,11.296
8,11.25_4_with 0,10.641,11.116
8 平均值,,10.199,10.79525
9,11.26_1_with 0,8.19,8.873
9,11.26_2_with 0,8.656,9.665
9,11.26_3_with 0,8.501,9.81
9,11.26_4_with 0,8.627,9.987
9 平均值,,8.4935,9.58375
10,11.27_1_with 0,6.874,7.772
10,11.27_2_with 0,7.631,8.626
10,11.27_3_with 0,7.743,8.345
10,11.27_4_with 0,7.989,8.328
10 平均值,,7.55925,8.26775
11,11.28_1_with 0,5.834,6.681
11,11.28_2_with 0,6.589,7.337
11,11.28_3_with 0,6.788,7.535
11,11.28_4_with 0,6.753,7.731
11 平均值,,6.491,7.321
12,11.25_1_with 12.5,3.173,3.151
12,11.25_2_with 12.5,3.398,3.473
12,11.25_3_with 12.5,3.504,3.314
12,11.25_4_with 12.5,3.438,3.677
12 平均值,,3.37825,3.40375
13,11.26_1_with 12.5,2.606,2.857
13,11.26_2_with 12.5,3.007,3.073
13,11.26_3_with 12.5,2.961,3.108
13,11.26_4_with 12.5,2.991,3.245
13 平均值,,2.89125,3.07075
14,11.27_1_with 12.5,2.374,2.558
14,11.27_2_with 12.5,2.555,2.634
14,11.27_3_with 12.5,2.632,2.757
14,11.27_4_with 12.5,2.657,2.872
14 平均值,,2.5545,2.70525
15,11.28_1_with 12.5,2.13,2.26
15,11.28_2_with 12.5,2.038,2.515
15,11.28_3_with 12.5,2.271,2.476
15,11.28_4_with 12.5,2.125,2.476
15 平均值,,2.141,2.43175
16,11.29_1_with 0,5.025,6.222
16,11.29_2_with 0,5.469,6.851
16,11.29_3_with 0,6.032,6.783
16,11.29_4_with 0,5.99,6.766
16 平均值,,5.629,6.6555
17,11.30_1_with 0,4.32,5.384
17,11.30_2_with 0,4.596,5.901
17,11.30_3_with 0,4.854,6.225
17,11.30_4_with 0,4.892,5.901
17 平均值,,4.6655,5.85275
18,12.01_1_with 0,3.919,4.926
18,12.01_2_with 0,4.146,5.41
18,12.01_3_with 0,4.236,5.596
18,12.01_4_with 0,4.306,5.417
18 平均值,,4.15175,5.33725
19,12.02_1_with 0,3.287,4.575
19,12.02_2_with 0,3.657,4.987
19,12.02_3_with 0,3.612,4.88
19,12.02_4_with 0,3.651,4.914
19 平均值,,3.55175,4.839
20,12.02_1_with 0_0.5,6.674,9.366
20,12.02_2_with 0_0.5,7.917,10.603
20,12.02_3_with 0_0.5,8.31,10.904
20,12.02_4_with 0_0.5,8.123,10.435
20 平均值
1,12.03_1_with 0.root,2.674,3.9
1,12.03_2_with 0.root,3.214,4.393
1,12.03_3_with 0.root,3.248,4.498
1,12.03_4_with 0.root,3.206,4.491
1 平均值,,3.22266666666667,4.46066666666667
2,12.04_1_with 0.root,2.371,3.657
2,12.04_2_with 0.root,2.754,3.987
2,12.04_3_with 0.root,2.673,4.04
2,12.04_4_with 0.root,2.843,4.033
2 平均值,,2.66025,3.92925
3,12.05_1_with 0.root,2.036,3.336
3,12.05_2_with 0.root,2.259,3.68
3,12.05_3_with 0.root,2.468,3.696
3,12.05_4_with 0.root,2.361,3.71
3 平均值,,2.281,3.6055
4,12.03_1_with 0_0.5.,6.436,8.507
4,12.03_2_with 0_0.5.,6.896,9.46
4,12.03_3_with 0_0.5.,6.912,9.651
4,12.03_4_with 0_0.5.,6.807,9.613
4 平均值,,6.76275,9.30775
5,12.04_1_with 0_0.5.,5.485,7.642
5,12.04_2_with 0_0.5.,5.647,8.762
5,12.04_3_with 0_0.5.,5.752,8.825
5,12.04_4_with 0_0.5.,5.936,8.933
5 平均值,,5.705,8.5405
6,12.05_1_with 0_0.5.,4.902,7.246
6,12.05_2_with 0_0.5.,5.164,8.231
6,12.05_3_with 0_0.5.,5.221,8.011
6,12.05_4_with 0_0.5.,5.251,7.949
6 平均值,,5.1345,7.85925
7,12.06_1_with 0_0.5.,4.024,6.644
7,12.06_2_with 0_0.5.,4.597,7.534
7,12.06_3_with 0_0.5.,4.495,7.208
7,12.06_4_with 0_0.5.,4.58,7.386
7 平均值,,4.424,7.193
8,12.07_1_with 0_0.5.,3.538,6.266
8,12.07_2_with 0_0.5.,3.988,6.599
8,12.07_3_with 0_0.5.,4.114,6.822
8,12.07_4_with 0_0.5.,4.078,6.966
8 平均值,,3.9295,6.66325
9,12.08_1_with 0_0.5.,3.404,5.597
9,12.08_2_with 0_0.5.,3.428,6.311
9,12.08_3_with 0_0.5.,3.65,6.194
9,12.08_4_with 0_0.5.,3.507,6.535
9 平均值,,3.49725,6.15925
,12.09_1_with 0_0.5.root,2.627,5.248
,12.09_2_with 0_0.5.root,2.998,5.798
,12.09_3_with 0_0.5.root,2.992,5.828
,12.09_4_with 0_0.5.root,3.08,5.919
,,3.02333333333333,5.84833333333333
