54.6000 	8.8596 	0.0144 	8.6942 	0.0357 
90.8000 	8.5992 	0.0165 	8.4726 	0.0403 
114.3000 	8.4642 	0.0164 	8.3251 	0.0407 
138.2000 	8.2992 	0.0182 	8.1855 	0.0447 
162.2000 	8.1190 	0.0191 	8.0355 	0.0464 
186.2000 	7.9875 	0.0207 	7.8766 	0.0512 
210.4000 	7.8566 	0.0157 	7.6345 	0.0427 
234.7000 	7.6943 	0.0157 	7.5542 	0.0397 
258.9000 	7.5337 	0.0157 	7.4165 	0.0389 
283.0000 	7.3713 	0.0156 	7.2308 	0.0397 
307.1000 	7.2061 	0.0184 	7.0777 	0.0467 
332.6000 	7.0366 	0.0209 	6.8574 	0.0567 
354.6000 	6.8967 	0.0209 	6.7514 	0.0548 
				
309.5000 	7.1864 	0.0154 	7.0821 	0.0200 
330.5000 	7.0644 	0.0152 	6.8947 	0.0208 
356.8000 	6.8884 	0.0155 	6.7097 	0.0215 
378.2000 	6.7351 	0.0149 	6.5867 	0.0202 
402.3000 	6.5590 	0.0148 	6.4265 	0.0201 
426.3000 	6.4284 	0.0148 	6.2665 	0.0205 
450.3000 	6.2753 	0.0147 	6.1262 	0.0203 
474.9000 	6.1067 	0.0150 	5.9568 	0.0208 
498.3000 	5.9729 	0.0149 	5.8107 	0.0206 
522.4000 	5.7972 	0.0146 	5.6571 	0.0201 
546.4000 	5.6318 	0.0155 	5.4813 	0.0215 
571.3000 	5.4669 	0.0154 	5.3627 	0.0209 
594.6000 	5.3285 	0.0157 	5.1416 	0.0229 
620.9000 	5.1655 	0.0170 	5.0173 	0.0246 
647.5000 	4.9597 	0.0190 	4.8727 	0.0261 
669.5000 	4.8123 	0.0156 	4.7308 	0.0212 
690.8000 	4.5924 	0.0233 	4.5639 	0.0315 
716.7000 	4.5510 	0.0236 	4.3673 	0.0353 
				
598.3000 	5.2997 	0.0128 	5.1507 	0.0142 
619.2000 	5.1750 	0.0113 	5.0338 	0.0125 
645.2000 	4.9697 	0.0107 	4.8686 	0.0116 
666.6000 	4.7999 	0.0117 	4.7101 	0.0127 
693.3000 	4.6515 	0.0111 	4.5605 	0.0120 
714.2000 	4.5137 	0.0145 	4.3699 	0.0165 
740.4000 	4.3149 	0.0150 	4.2468 	0.0162 
762.5000 	4.1636 	0.0152 	4.0828 	0.0167 
786.4000 	3.9979 	0.0161 	3.9324 	0.0176 
811.0000 	3.8684 	0.0167 	3.8170 	0.0181 
834.2000 	3.7675 	0.0183 	3.6237 	0.0213 
858.4000 	3.6117 	0.0191 	3.4588 	0.0221 
884.2000 	3.3732 	0.0214 	3.3216 	0.0235 
910.3000 	3.2125 	0.0193 	3.1364 	0.0218 
930.5000 	3.0640 	0.0209 	3.0304 	0.0229 
954.6000 	2.9703 	0.0213 	2.8684 	0.0247 
980.4000 	2.7930 	0.0211 	2.6694 	0.0251 
1002.7000 	2.6198 	0.0230 	2.5492 	0.0265 
1029.0000 	2.5127 	0.0245 	2.4124 	0.0289 
				
955.9000 	2.9223 	0.0195 	2.8953 	0.0210 
978.5000 	2.8242 	0.0197 	2.6792 	0.0229 
1004.6000 	2.6536 	0.0219 	2.5557 	0.0250 
1026.9000 	2.4958 	0.0198 	2.3692 	0.0232 
1051.2000 	2.3210 	0.0195 	2.2586 	0.0220 
1078.5000 	2.2066 	0.0197 	2.0789 	0.0237 
1100.0000 	2.0355 	0.0242 	1.9269 	0.0289 
1123.8000 	1.8559 	0.0228 	1.8115 	0.0264 
1149.3000 	1.6301 	0.0270 	1.5645 	0.0326 
1171.9000 	1.5346 	0.0269 	1.4737 	0.0324 
1197.7000 	1.3407 	0.0284 	1.3110 	0.0335 
				
1126.1000 	1.8067 	0.0193 	1.7527 	0.0226 
1147.1000 	1.7051 	0.0181 	1.6081 	0.0220 
1174.0000 	1.4989 	0.0202 	1.4557 	0.0240 
1195.3000 	1.3505 	0.0249 	1.3442 	0.0291 
1220.3000 	1.1619 	0.0256 	1.1365 	0.0310 
1244.4000 	1.0216 	0.0286 	0.9716 	0.0361 
1268.2000 	0.8440 	0.0343 	0.7664 	0.0444 
1292.4000 	0.7234 	0.0281 	0.6178 	0.0375 
