Filename	SPE_Filename	MeasurementTime	LiveTime(s)	DeadTime(%)	747keV_NetCounts	747keV_Error	633keV_NetCounts	633keV_Error	634keV_NetCounts	634keV_Error	747keV_CountRate	633keV_CountRate	634keV_CountRate
11.12_3_with 12.5.root	11.12_3_with 12.5.Spe	11/12/2025 12:23:26	583	3.47682	14761.7	135.382	13155.2	132.185	13125.2	132.071	25.3203	22.5647	22.5132
11.12_3_with Cu.root	11.12_3_with Cu.Spe	11/12/2025 13:16:05	1250	1.0293	2878.5	76.207	2066.4	73.2639	2039.4	73.0794	2.3028	1.65312	1.63152
11.12_4_with 12.5.root	11.12_4_with 12.5.Spe	11/12/2025 12:34:33	441	3.28947	11264.6	117.241	10066.4	114.89	10003.4	114.615	25.5433	22.8263	22.6834
11.12_4_with Cu.root	11.12_4_with Cu.Spe	11/12/2025 12:44:25	1811	1.03825	4294.59	91.6046	3101.8	87.6824	3064.8	87.4711	2.37139	1.71276	1.69232
11.13_1_with 12.5.root	11.13_1_with 12.5.Spe	11/13/2025 09:26:28	494	3.51562	9743.25	113.687	8808.8	112.237	8782.8	112.121	19.7232	17.8316	17.7789
11.13_1_with Cu.root	11.13_1_with Cu.Spe	11/13/2025 11:38:28	3195	1.05296	6152.19	118.928	4342.1	112.303	4272.1	111.991	1.92557	1.35903	1.33712
11.13_2_with 12.5.root	11.13_2_with 12.5.Spe	11/13/2025 09:36:12	517	3.36449	11103.1	118.351	10268.6	117.709	10233.6	117.56	21.4761	19.8619	19.7942
11.13_2_with Cu.root	11.13_2_with Cu.Spe	11/13/2025 11:06:13	1853	1.01496	3668.59	90.3848	2687.8	86.2682	2666.8	86.1464	1.97981	1.45051	1.43918
11.13_3_with 12.5.root	11.13_3_with 12.5.Spe	11/13/2025 09:09:35	889	3.15904	19582.1	155.775	17745.5	154.319	17685.5	154.125	22.0271	19.9612	19.8937
11.13_3_with 12.5_9_L_19h.root	11.13_3_with 12.5_9_L_19h.Spe	11/12/2025 21:43:16	64912	1.54406	676677	921.886	610028	907.65	608076	906.574	10.4245	9.39776	9.36769
11.13_3_with Cu.root	11.13_3_with Cu.Spe	11/13/2025 10:31:38	1990	0.945744	4161.81	91.0505	3074.5	85.904	3053.5	85.7817	2.09136	1.54497	1.53442
11.13_4_with 12.5.root	11.13_4_with 12.5.Spe	11/13/2025 09:55:06	516	3.18949	11394	117.898	10293	117.026	10247	116.829	22.0813	19.9477	19.8585
11.13_4_with Cu.root	11.13_4_with Cu.Spe	11/13/2025 09:56:23	2019	0.932287	4300.06	91.5311	3162	87.0172	3141	86.8965	2.1298	1.56612	1.55572
11.14_1_with 12.5.root	11.14_1_with 12.5.Spe	11/14/2025 12:05:24	648	2.99401	10761.1	120.983	9937.8	119.817	9904.8	119.68	16.6066	15.3361	15.2852
11.14_1_with Cu.root	11.14_1_with Cu.Spe	11/14/2025 09:17:19	1786	0.942873	2802.12	83.1738	2110.3	80.148	2094.3	80.0481	1.56894	1.18158	1.17262
11.14_2_with 12.5.root	11.14_2_with 12.5.Spe	11/14/2025 11:52:19	697	2.92479	12500.4	128.855	11336.2	126.285	11298.2	126.134	17.9346	16.2643	16.2098
11.14_2_with Cu.root	11.14_2_with Cu.Spe	11/14/2025 09:48:37	1786	0.887902	3293.25	82.9382	2293.1	79.2395	2274.1	79.1195	1.84392	1.28393	1.27329
11.14_3_with 12.5.root	11.14_3_with 12.5.Spe	11/14/2025 11:42:18	520	2.80374	9494.53	109.259	8971.8	108.987	8954.8	108.909	18.2587	17.2535	17.2208
11.14_3_with Cu.root	11.14_3_with Cu.Spe	11/14/2025 10:19:56	2140	0.834106	3546.66	88.7882	2754	84.1427	2717	83.9226	1.65732	1.28692	1.26963
11.14_4_with 12.5.root	11.14_4_with 12.5.Spe	11/14/2025 11:28:52	715	2.72109	13340.8	128.931	12072	127.397	12044	127.287	18.6584	16.8839	16.8448
11.14_4_with Cu.root	11.14_4_with Cu.Spe	11/14/2025 10:56:54	1792	0.830105	3343.97	81.5968	2382.6	76.4421	2359.6	76.2915	1.86605	1.32958	1.31674
11.15_1_with 12.5.root	11.15_1_with 12.5.Spe	11/15/2025 09:05:10	410	2.61283	5829.5	90.2912	5162.7	90.085	5133.7	89.9239	14.2183	12.592	12.5212
11.15_1_with Cu.root	11.15_1_with Cu.Spe	11/15/2025 11:12:27	1802	0.880088	2724.75	80.0703	1850.8	75.3737	1817.8	75.1545	1.51207	1.02708	1.00877
11.15_2_with 12.5.root	11.15_2_with 12.5.Spe	11/15/2025 09:13:19	406	2.87081	6502.28	91.5954	5880.4	90.6399	5881.4	90.6455	16.0155	14.4837	14.4862
11.15_2_with Cu.root	11.15_2_with Cu.Spe	11/15/2025 10:41:18	1791	0.830565	2820.31	79.0044	2010	75.2596	1994	75.1532	1.57471	1.12228	1.11334
11.15_3_with 12.5.root	11.15_3_with 12.5.Spe	11/15/2025 09:21:18	427	2.51142	6850.56	93.8479	6374.3	92.443	6341.3	92.2643	16.0435	14.9281	14.8508
11.15_3_with Cu.root	11.15_3_with Cu.Spe	11/15/2025 10:10:10	1788	0.721821	2665.47	75.3428	2065.5	72.9418	2040.5	72.7702	1.49075	1.1552	1.14122
11.15_4_with 12.5.root	11.15_4_with 12.5.Spe	11/15/2025 09:29:41	457	2.55864	7252.38	95.371	6868.8	95.4107	6857.8	95.353	15.8695	15.0302	15.0061
11.15_4_with Cu.root	11.15_4_with Cu.Spe	11/15/2025 09:38:54	1797	0.718232	2813.22	73.9647	2030.9	70.5344	2012.9	70.4067	1.56551	1.13016	1.12014
11.16_1_with 12.5.root	11.16_1_with 12.5.Spe	11/16/2025 11:17:38	464	2.52101	5546.03	88.8142	5246.3	88.2933	5223.3	88.1629	11.9527	11.3067	11.2571
11.16_2_with 12.5.root	11.16_2_with 12.5.Spe	11/16/2025 11:26:48	595	2.29885	7782.22	104.133	7341.2	101.975	7326.2	101.901	13.0794	12.3382	12.3129
11.16_3_with 12.5.root	11.16_3_with 12.5.Spe	11/16/2025 11:38:04	678	2.1645	9322.31	109.251	8525.9	107.294	8503.9	107.192	13.7497	12.5751	12.5426
11.16_4_with 12.5.root	11.16_4_with 12.5.Spe	11/16/2025 11:50:37	478	2.04918	6528	91.3564	6158.1	91.0818	6119.1	90.8675	13.6569	12.8831	12.8015
11.17_1_with 12.5.root	11.17_1_with 12.5.Spe	11/17/2025 09:22:52	530	2.21402	5619.5	90.2469	5089.1	89.3471	5073.1	89.2575	10.6028	9.60208	9.57189
11.17_2_with 12.5.root	11.17_2_with 12.5.Spe	11/17/2025 09:33:01	507	2.31214	5734.03	88.7354	5479.1	88.4698	5475.1	88.4472	11.3097	10.8069	10.799
11.17_3_with 12.5.root	11.17_3_with 12.5.Spe	11/17/2025 09:42:40	493	1.98807	5663.25	87.3656	5488.2	87.062	5455.2	86.8723	11.4873	11.1323	11.0653
11.17_4_with 12.5.root	11.17_4_with 12.5.Spe	11/17/2025 09:52:06	531	1.84843	6200.69	90.7376	5744.5	89.8638	5728.5	89.7747	11.6774	10.8183	10.7881
